approved-meat-establishment	company	meat-establishment-type	meat-establishment-operation	meat-establishment-outcome	local-authority	meat-establishment-audit-date	meat-establishment-audit-frequency	meat-establishment-next-audit-due-date	start-date	end-date
1077	F Simpson And Son	3	11	2	County Durham	2016-07-05	18	2018-01-01		
1077	F Simpson And Son	1	11	2	County Durham	2016-07-05	18	2018-01-01		
2045	Dovecote Park Limited	3	11	1	West Yorkshire	2017-03-30	12	2018-03-01		
2045	Dovecote Park Limited	1	11	1	West Yorkshire	2017-03-30	12	2018-03-01		
2056	Linden Foods Burradon Limited	3	11	2	Tyne and Wear	2017-06-07	36	2020-06-01		
2056	Linden Foods Burradon Limited	1	11	2	Tyne and Wear	2017-06-07	36	2020-06-01		
2060	Malton Bacon Factory	3	11	2	North Yorkshire	2016-03-03	36	2019-03-01		
2060	Malton Bacon Factory	1	11	2	North Yorkshire	2016-03-03	36	2019-03-01		
2066	Thompson (Wholesale Meat) Ltd	3	11	2	County Durham	2016-11-15	36	2019-11-01		
2066	Thompson (Wholesale Meat) Ltd	1	11	2	County Durham	2016-11-15	36	2019-11-01		
2077	Foyle Melton Mowbray	3	11	2	Leicestershire	2016-04-14	36	2019-04-01		
2085	Bw & Dj Glaves & Sons Limited	3	11	2	North Yorkshire	2016-10-18	36	2019-10-01		
2085	Bw & Dj Glaves & Sons Limited	1	11	2	North Yorkshire	2016-10-18	36	2019-10-01		
2088	Egton Butchers	3	11	1	North Yorkshire	2016-11-28	12	2017-11-01		
2088	Egton Butchers	1	11	1	North Yorkshire	2016-11-28	12	2017-11-01		
2091	Spenborough Abattoir Limited	3	11	1	West Yorkshire	2016-10-17	12	2017-10-01		
2091	Spenborough Abattoir Limited	1	11	1	West Yorkshire	2016-10-17	12	2017-10-01		
2093	Cranswick Country Foods  Plc	3	11	2	North Humberside	2016-11-24	36	2019-11-01		
2093	Cranswick Country Foods  Plc	1	11	2	North Humberside	2016-11-24	36	2019-11-01		
2095	Hartshead Meats (2011) Limited	3	11	4	Lancashire	2017-07-06	2	2017-09-01		
2095	Hartshead Meats (2011) Limited	1	11	4	Lancashire	2017-07-06	2	2017-09-01		
2100	Dawn Carnaby	3	11	1	Humberside	2017-03-29	12	2018-03-01		
2100	Dawn Carnaby	1	11	1	Humberside	2017-03-29	12	2018-03-01		
2102	N Bramall & Son Ltd	3	11	1	South Yorkshire	2017-07-19	12	2018-07-01		
2102	N Bramall & Son Ltd	1	11	1	South Yorkshire	2017-07-19	12	2018-07-01		
2108	Black Brow Abattoir Ltd	3	11	1	Cumbria	2017-02-14	12	2018-02-01		
2108	Black Brow Abattoir Ltd	1	11	1	Cumbria	2017-02-14	12	2018-02-01		
2138	West Scottish Lamb Limited	3	11	3	Cumbria	2017-06-22	3	2017-09-01		
2138	West Scottish Lamb Limited	1	11	3	Cumbria	2017-06-22	3	2017-09-01		
2139	H C Airey & Sons Ltd	3	11	2	Cumbria	2016-04-19	36	2019-04-01		
2139	H C Airey & Sons Ltd	1	11	2	Cumbria	2016-04-19	36	2019-04-01		
2141	Abp York	3	11	2	North Yorkshire	2017-03-23	36	2020-03-01		
2141	Abp York	1	11	2	North Yorkshire	2017-03-23	36	2020-03-01		
2147	J A Mounfield & Son Ltd	3	11	1	North Yorkshire	2017-01-10	12	2018-01-01		
2161	J A Jewitt (Meat) Ltd	3	11	1	County Durham	2016-10-24	12	2017-10-01		
2161	J A Jewitt (Meat) Ltd	1	11	1	County Durham	2016-10-24	12	2017-10-01		
2163	Peter Boddy Licensed Slaughterers And Game Dealers	3	11	1	West Yorkshire	2017-03-27	12	2018-03-01		
2163	Peter Boddy Licensed Slaughterers And Game Dealers	1	11	1	West Yorkshire	2017-03-27	12	2018-03-01		
2168	G & A Denney	3	11	1	Cumbria	2017-02-07	12	2018-02-01		
2168	G & A Denney	1	11	1	Cumbria	2017-02-07	12	2018-02-01		
2169	Cr Horner	3	11	3	North Yorkshire	2017-08-08	3	2017-11-01		
2171	A Traves & Son Ltd	3	11	1	North Yorkshire	2016-09-08	12	2017-09-01		
2171	A Traves & Son Ltd	1	11	1	North Yorkshire	2016-09-08	12	2017-09-01		
2172	Foyle Gloucester	3	11	2	Gloucestershire	2016-04-12	36	2019-04-01		
2172	Foyle Gloucester	1	11	2	Gloucestershire	2016-04-12	36	2019-04-01		
2175	Richard Of Howden Ltd	3	11	1	East Yorkshire	2016-11-14	12	2017-11-01		
2175	Richard Of Howden Ltd	1	11	1	East Yorkshire	2016-11-14	12	2017-11-01		
2188	Robinsons Butchers	3	11	2	Cleveland	2016-03-02	18	2017-09-01		
2198	James White Butchers Limted	3	11	2	Humberside	2016-12-05	36	2019-12-01		
2199	E V Slack & Sons	3	11	1	South Yorkshire	2016-10-04	12	2017-10-01		
2241	Woolley Bros. (Wholesale Meat) Ltd	3	11	1	South Yorkshire	2017-02-28	12	2018-02-01		
2241	Woolley Bros. (Wholesale Meat) Ltd	1	11	1	South Yorkshire	2017-02-28	12	2018-02-01		
2248	Melton Meat Limited	3	11	2	Leicestershire	2016-04-20	36	2019-04-01		
2285	John Penny And Sons	3	11	1	West Yorkshire	2017-08-30	12	2018-08-01		
2285	John Penny And Sons	1	11	1	West Yorkshire	2017-08-30	12	2018-08-01		
2288	C Wasteney And Sons	3	11	2	South Yorkshire	2016-06-29	18	2017-12-01		
2288	C Wasteney And Sons	1	11	2	South Yorkshire	2016-06-29	18	2017-12-01		
2291	L Wood & Sons	3	11	1	West Yorkshire	2017-05-12	12	2018-05-01		
2291	L Wood & Sons	1	11	1	West Yorkshire	2017-05-12	12	2018-05-01		
2343	J & E Medcalf Limited	3	11	1	West Yorkshire	2016-10-17	12	2017-10-01		
2343	J & E Medcalf Limited	1	11	1	West Yorkshire	2016-10-17	12	2017-10-01		
2384	Newhouse Game	3	11	2	Hampshire	2016-10-06	18	2018-04-01		
2388	Dawn Cumbria	3	11	1	Cumbria	2016-11-17	12	2017-11-01		
2397	Rowland Agar (Slaughtering Contractors) Limited	3	11	1	West Yorkshire	2017-07-28	12	2018-07-01		
2397	Rowland Agar (Slaughtering Contractors) Limited	1	11	1	West Yorkshire	2017-07-28	12	2018-07-01		
2406	George Bolam (Foods) Ltd	3	11	1	Cleveland	2016-10-04	12	2017-10-01		
2413	M & C Meats	3	11	1	West Yorkshire	2016-12-01	12	2017-12-01		
2413	M & C Meats	1	11	1	West Yorkshire	2016-12-01	12	2017-12-01		
2430	Yorkshire Abattoir Services Limited	3	11	1	West Yorkshire	2017-07-11	12	2018-07-01		
2438	Mcintyre  Meats Limited	3	11	2	North Yorkshire	2016-03-31	18	2017-09-01		
2438	Mcintyre  Meats Limited	1	11	2	North Yorkshire	2016-03-31	18	2017-09-01		
2477	Langthorne's Buffalo Produce	3	11	2	North Yorkshire	2017-04-19	18	2018-10-01		
2477	Langthorne's Buffalo Produce	1	11	2	North Yorkshire	2017-04-19	18	2018-10-01		
2536	Pickstock Telford Limited	3	11	1	Shropshire	2016-10-25	12	2017-10-01		
2536	Pickstock Telford Limited	1	11	1	Shropshire	2016-10-25	12	2017-10-01		
2569	Severn Valley Lamb	3	11	1	Staffordshire	2016-09-22	12	2017-09-01		
2621	Wellcroft Farm Meats	3	11	2	Staffordshire	2016-04-01	18	2017-10-01		
2621	Wellcroft Farm Meats	1	11	2	Staffordshire	2016-04-01	18	2017-10-01		
2630	Charing Meats Limited	3	11	3		2017-06-29	3	2017-09-01		
2630	Charing Meats Limited	1	11	3		2017-06-29	3	2017-09-01		
2660	Dale Valley (Rossendale) Limited	3	11	1		2017-07-14	12	2018-07-01		
2660	Dale Valley (Rossendale) Limited	1	11	1		2017-07-14	12	2018-07-01		
4071	Dunbia Preston	3	11	1	Lancashire	2017-07-27	12	2018-07-01		
4071	Dunbia Preston	1	11	1	Lancashire	2017-07-27	12	2018-07-01		
4073	Abp Ellesmere	3	11	2	Shropshire	2017-02-28	36	2020-02-01		
4073	Abp Ellesmere	1	11	2	Shropshire	2017-02-28	36	2020-02-01		
4083	Cook's Of Rainford	3	11	2	Merseyside	2016-05-16	18	2017-11-01		
4083	Cook's Of Rainford	1	11	2	Merseyside	2016-05-16	18	2017-11-01		
4085	Tulip Fresh Meats (Ashton)	3	11	1	Cheshire	2016-10-26	12	2017-10-01		
4085	Tulip Fresh Meats (Ashton)	1	11	1	Cheshire	2016-10-26	12	2017-10-01		
4090	F A Gill Ltd	3	11	1	West Midlands	2017-07-25	12	2018-07-01		
4090	F A Gill Ltd	1	11	1	West Midlands	2017-07-25	12	2018-07-01		
4102	A H Griffiths	3	11	1	Shropshire	2017-08-15	12	2018-08-01		
4102	A H Griffiths	1	11	1	Shropshire	2017-08-15	12	2018-08-01		
4104	A E Pears & Son	3	11	1	Leicestershire	2017-01-26	12	2018-01-01		
4109	Abp Shrewsbury	3	11	2	Shropshire	2016-04-21	18	2017-10-01		
4109	Abp Shrewsbury	1	11	2	Shropshire	2016-04-21	18	2017-10-01		
4112	Blacklidge Bros	3	11	1	Lancashire	2016-12-21	12	2017-12-01		
4112	Blacklidge Bros	1	11	1	Lancashire	2016-12-21	12	2017-12-01		
4113	Noel Chadwick Limited	3	11	2	Greater Manchester	2016-03-03	18	2017-09-01		
4113	Noel Chadwick Limited	1	11	2	Greater Manchester	2016-03-03	18	2017-09-01		
4133	Farmers Fresh Limited	3	11	1	Warwickshire	2017-03-23	12	2018-03-01		
4133	Farmers Fresh Limited	1	11	1	Warwickshire	2017-03-23	12	2018-03-01		
4137	C. Robinson & Sons (Butchers) Limited	3	11	1	Staffordshire	2016-10-31	12	2017-10-01		
4138	C E Partridge & Son Ltd	3	11	1	Worcestershire	2017-01-24	12	2018-01-01		
