Name,Description
ApprovalNumber,The approval number provided to the food business operator by the Competent Authority
TradingName,Name by which the establishment is known
Town,Town of Establishment
County,County of Establishment
Country,Country of Establishment
Activity,"Slaughterhouse (SH), Cutting Plant (CP), Cold Store (CS)"
RSL,Red Meat Slaughterhouse
PSL,Poultry Meat Slaughterhouse
GHE,Game Handling Establishment
RCP,Red Meat Cutting Plant
PCP,Poultry Meat Cutting Plant
MIN,Minced Meat Preparations Establishment
PRO,Processing Plant
MSM,Mechanically Separated Meat
CLS,Cold Store
WMA,Wholesale Market
Sheep,Approved to remove spinal cord in sheep and goats over 12 months of age or with a permanent incisor erupted is specified risk material (SRM)
BSETesting,Testing required in BSE susceptible animals
VC,Cutting Plants approved to remove vertebral column in cattle older than 30 months
WGP,Wild Game Cutting
MPrep,Meat Preparations Establishment
RTE,Ready To Eat Meats
Fish,Fishery Products
Wrap,Re-Wrapping Establishment
Dairy,Dairy Products
Egg,Egg Products
AuditDate,Date of Full Audit
Outcome,"Outcome of Audit (Good, Generally Satisfactory, Improvement Necessary, Urgent Improvement Necessary)"
AuditFrequency,"Frequency of Full Audits (18 months, 12 months, 3 months, 2 months) depending on outcome"
NxtAuditDate,Month Next Full Audit Due (Audit Date + Audit Frequency)
Q11,"Animal Health & Identification: Only correctly identified animals / carcases with all relevant documentation (passports, FCI, Trained hunters’ declaration) are accepted for slaughter or processing (at Game Handling Establishments)"
Q12,Animal Health & Identification: FBO takes appropriate action over fitness of animals to be accepted for slaughter based on FCI information and own pre-slaughter checks
Q13,Animal Health & Identification: Animal health restrictions in disease control area are implemented by slaughterhouse operator
Q14,"Animal Health & Identification: Slaughterhouse operators transporting poultry/lagomorphs ensure suitable crates/modules are used. All equipment used for collecting/delivery are cleaned, washed and disinfected  immediately after use and if necessary before re-use"
Q15,Animal Health & Identification: Cleansing and disinfection of red meat livestock vehicles following applicable legislative requirements for the slaughterhouse operator
Q21,Animal Welfare: suffering during their killing and related operations.
Q22,"Animal Welfare: Standard operating procedures (SOPs) are developed, implemented and maintained"
Q23,Animal Welfare: Designated Animal Welfare Officer (AWO) ensuring compliance with welfare regulations.
Q24,Animal Welfare: Personnel demonstrate appropriate level of competency (including Certificates of Competence).
Q25,"Animal Welfare: Structures of the building safeguard animal welfare (adverse weather protection, adequate ventilation, lairage conditions)."
Q26,"Animal Welfare: Adequate unloading facilities (suitable ramps, containing rails, isolation pens)."
Q27,Animal Welfare: Scheduled arrival / waiting times safeguard animal welfare.
Q28,"Animal Welfare: Condition and health of animals assessed on intake and during lairaging, prompt action is taken to relieve suffering where this is required."
Q29,Animal Welfare: Crates/modules are in acceptable condition and handled appropriately when being moved.
Q210,"Animal Welfare: Lairaging conditions/pen provisions are adequate (bedding, water, food provision - if left overnight)."
Q211,Animal Welfare: Movement of animals (including the correct procedures and use of instruments to make the animals move).
Q212,"Animal Welfare: Restraining facilities and equipment are adequately designed, constructed and maintained (including shackle lines and records) "
Q213,Animal Welfare: Restraining procedures ensure welfare of animals is protected.
Q214,"Animal Welfare: Stunning equipment is adequately designed, constructed and maintained (including warning devices and maintenance records). "
Q215,Animal Welfare: Stunning methods ensure quick and effective loss of consciousness and sensibility followed by death (stunning and simple stunning). 
Q216,Animal Welfare: Provisions for back-up stunning equipment and its use.
Q217,Animal Welfare: Monitoring checks (including actions following checks).
Q218,Animal Welfare: Bleeding.
Q219,Animal Welfare (Religious Slaughter): Restraining equipment and procedures ensure welfare of animals is protected.
Q220,Animal Welfare (Religious Slaughter): Provisions for back-up stunning equipment and its use.
Q221,Animal Welfare (Religious Slaughter): Bleeding
Q222,Animal Welfare (Religious Slaughter): Monitoring checks (including actions following checks).
Q31,Slaughterhouse / Game Handling Establishment Hygiene: Animals to be slaughtered / wild game are clean and/or FBO has HACCP based procedures in place to avoid contamination of carcasses from dirty animals
Q32,Slaughterhouse / Game Handling Establishment Hygiene: All handling and processes from slaughtering to despatch are done in a way that avoids the contamination of meat and offal entering the food chain.
Q33,Slaughterhouse / Game Handling Establishment Hygiene: Any visible contamination removed without delay by trimming or alternative means having an equivalent effect
Q34,"Slaughterhouse / Game Handling Establishment Hygiene: Where relevant, all edible co-products are handled hygienically and subject to relevant controls (including raw materials intended for further processing)"
Q35,Slaughterhouse / Game Handling Establishment Hygiene: Correlation and correct presentation of parts of slaughtered red meat animals required to be inspected. Correct presentation of carcasses and accompanying offal of birds for post-mortem inspection
Q36,"Slaughterhouse / Game Handling Establishment Hygiene: Carcass and offal are chilled, stored and dispatched within the required temperatures and in a manner that avoids cross-contamination"
Q37,Slaughterhouse / Game Handling Establishment Hygiene: All products have Health Mark or Identification Mark as appropriate
Q38,"Slaughterhouse / Game Handling Establishment Hygiene: FBO traceability system allows identification of any person from whom they have been supplied with food products, and businesses to which their products have been supplied"
Q39,Slaughterhouse / Game Handling Establishment Hygiene: All statutory microbiological testing is carried out and appropriate action on receipt of results is being taken.
Q39i,Slaughterhouse / Game Handling Establishment Hygiene: All statutory Trichinella sampling and testing is carried out and appropriate action on receipt of results is being taken.
Q310,Cutting Plant / Minced Meat / Meat Preparations / Meat Products Hygiene/ MSM / Cold stores: Legal temperature controls are maintained throughout the process from intake to dispatch for all products and rooms
Q311,"Cutting Plant / Minced Meat / Meat Preparations / Meat Products Hygiene/ MSM / Cold stores: Controls ensure that risk of cross contamination is minimised, prevented or reduced to acceptable levels during operation and appropriate action taken should contamination occur"
Q312,"Cutting Plant / Minced Meat / Meat Preparations / Meat Products Hygiene/ MSM / Cold stores: Only permitted raw materials, including water and other ingredients, are used for minced meat, meat preparations, MSM and meat products"
Q313,Cutting Plant / Minced Meat / Meat Preparations / Meat Products Hygiene/ MSM / Cold stores: All statutory microbiological testing is carried out and appropriate action on receipt of results is being taken.
